LibRef,Comment,Description,Designator,Footprint,Quantity
"MAX868","MAX868","Regulated -2x Inverting Charge Pump","U2","TSSOP50P490X109-10L","1"
"MAX1759","MAX1759","Buck/Boost Regulating Charge Pump","U1","TSSOP50P490X109-10L","1"
"MPZ1608S221A","MPZ1608S221A","Ferrite","FL1, FL2, FL3, FL4, FL5, FL6, FL7, FL8, FL9, FL10, FL11, FL12, FL13, FL14, FL15, FL16, FL17, FL18, FL19, FL20, FL21, FL22, FL23, FL24","C0603","24"
"PINHD-2X3","PINHD-2X3","PIN HEADER","X18","2X03","1"
"PRTR5V0U2F","PRTR5V0U2F","Rail-to-rail ESD protection devices","D27","SOT886","1"
"PTS840 GKP SMTR LFS","PTS840 GKP SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 12V","S1, S2","PTS840 GKP SMTR LFS","2"
"R0402TBD","R0402TBD","Resistor","R9, R14, R16, R17, R18, R31","R0402","6"
"R0603TBD","R0603TBD","Resistor","R30","R0603","1"
"TC358779","TC358779","","U6","BGA80-0707-065","1"
"TP2053CA050C","TP2053CA050C","UltiMachine 5" HD Touch Interface","X1","FFC8x05-top","1"
"10118194-0001LF","USB Micro","Conn Recept USB - micro B 2.0 5 Pos SMT, Rt Angle, Horizontal","J2","10118194-0001LF","1"
